"","X","tile_count","solar_system_count","total_panel_area","fips","average_household_income","county","education_bachelor","education_college","education_doctoral","education_high_school_graduate","education_less_than_high_school","education_master","education_population","education_professional_school","employed","gini_index","heating_fuel_coal_coke","heating_fuel_electricity","heating_fuel_fuel_oil_kerosene","heating_fuel_gas","heating_fuel_housing_unit_count","heating_fuel_none","heating_fuel_other","heating_fuel_solar","land_area","per_capita_income","population","population_density","poverty_family_below_poverty_level","poverty_family_count","race_asian","race_black_africa","race_indian_alaska","race_islander","race_other","race_two_more","race_white","state","total_area","unemployed","water_area","education_less_than_high_school_rate","education_high_school_graduate_rate","education_college_rate","education_bachelor_rate","education_master_rate","education_professional_school_rate","education_doctoral_rate","race_white_rate","race_black_africa_rate","race_indian_alaska_rate","race_asian_rate","race_islander_rate","race_other_rate","race_two_more_rate","employ_rate","poverty_family_below_poverty_level_rate","heating_fuel_gas_rate","heating_fuel_electricity_rate","heating_fuel_fuel_oil_kerosene_rate","heating_fuel_coal_coke_rate","heating_fuel_solar_rate","heating_fuel_other_rate","heating_fuel_none_rate","solar_panel_area_divided_by_area","solar_panel_area_per_capita","tile_count_residential","tile_count_nonresidential","solar_system_count_residential","solar_system_count_nonresidential","total_panel_area_residential","total_panel_area_nonresidential","median_household_income","electricity_price_residential","electricity_price_commercial","electricity_price_industrial","electricity_price_transportation","electricity_price_overall","electricity_consume_residential","electricity_consume_commercial","electricity_consume_industrial","electricity_consume_total","household_count","average_household_size","housing_unit_count","housing_unit_occupied_count","housing_unit_median_value","housing_unit_median_gross_rent","lat","lon","elevation","heating_design_temperature","cooling_design_temperature","earth_temperature_amplitude","frost_days","air_temperature","relative_humidity","daily_solar_radiation","atmospheric_pressure","wind_speed","earth_temperature","heating_degree_days","cooling_degree_days","age_18_24_rate","age_25_34_rate","age_more_than_85_rate","age_75_84_rate","age_35_44_rate","age_45_54_rate","age_65_74_rate","age_55_64_rate","age_10_14_rate","age_15_17_rate","age_5_9_rate","household_type_family_rate","dropout_16_19_inschool_rate","occupation_construction_rate","occupation_public_rate","occupation_information_rate","occupation_finance_rate","occupation_education_rate","occupation_administrative_rate","occupation_manufacturing_rate","occupation_wholesale_rate","occupation_retail_rate","occupation_transportation_rate","occupation_arts_rate","occupation_agriculture_rate","occupancy_vacant_rate","occupancy_owner_rate","mortgage_with_rate","transportation_home_rate","transportation_car_alone_rate","transportation_walk_rate","transportation_carpool_rate","transportation_motorcycle_rate","transportation_bicycle_rate","transportation_public_rate","travel_time_less_than_10_rate","travel_time_10_19_rate","travel_time_20_29_rate","travel_time_30_39_rate","travel_time_40_59_rate","travel_time_60_89_rate","health_insurance_public_rate","health_insurance_none_rate","age_median","travel_time_average","voting_2016_dem_percentage","voting_2016_gop_percentage","voting_2016_dem_win","voting_2012_dem_percentage","voting_2012_gop_percentage","voting_2012_dem_win","number_of_years_of_education","diversity","number_of_solar_system_per_household","incentive_count_residential","incentive_count_nonresidential","incentive_residential_state_level","incentive_nonresidential_state_level","net_metering","feedin_tariff","cooperate_tax","property_tax","sales_tax","rebate","avg_electricity_retail_rate"
"1",7466,0,0,0,51710001300,44169.4980695,"Norfolk city",276,476,12,562,59,45,1453,23,1184,0.4119,0,598,30,391,1036,9,8,0,0.2532421,19321,2490,9832.488,69,518,65,849,0,0,130,145,1301,"va",0.2532421,165,0,0.0406056434962,0.386785960083,0.327598072953,0.189951823813,0.0309704060564,0.0158293186511,0.00825877494838,0.522489959839,0.340963855422,0,0.0261044176707,0,0.0522088353414,0.0582329317269,0.877687175686,0.133204633205,0.377413127413,0.57722007722,0.0289575289575,0,0,0.00772200772201,0.00868725868726,0,0,0,0,0,0,0,0,32581,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,1036,2.4,1266,1036,154300,790,36.918,-76.28,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.139759036145,0.278313253012,0.00120481927711,0.0160642570281,0.122088353414,0.074297188755,0.0208835341365,0.0706827309237,0.0457831325301,0.0172690763052,0.0738955823293,0.5,1,0.0608108108108,0.0954391891892,0.00506756756757,0.03125,0.181587837838,0.169763513514,0.097972972973,0.00844594594595,0.135135135135,0.0565878378378,0.146959459459,0,0.181674565561,0.238546603476,0.870860927152,0.0143312101911,0.923566878981,0.00955414012739,0.0246815286624,0,0,0.0278662420382,0.0557350565428,0.431340872375,0.289176090468,0.180129240711,0.0226171243942,0.0210016155089,0.288621262458,0.178986710963,29.3,21,0.684151013675,0.264393657213,"True",0.714,0.274,"True",13.6551961459,0.603949613716,0,19,16,8,13,17,0,0,40,0,0,9.12
"2",7467,2,1,11.4209420453,51710001400,47535.8042995,"Norfolk city",359,748,29,549,232,122,2076,37,1178,0.4992,0,708,104,523,1349,14,0,0,0.5090201,25110,2683,5270.912,98,636,123,457,6,0,25,153,1919,"va",0.5435423,39,0.03452217,0.111753371869,0.264450867052,0.360308285164,0.172928709056,0.0587668593449,0.0178227360308,0.0139691714836,0.715244129706,0.170331718226,0.00223630264629,0.045844204249,0,0.00931792769288,0.0570257174804,0.96795398521,0.154088050314,0.387694588584,0.524833209785,0.0770941438102,0,0,0,0.0103780578206,21.0120574706,0.0042567804865,2,0,1,0,11.4209420453,0,30815,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,1349,1.99,1366,1349,267500,717,36.909,-76.267,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.0778978755125,0.157286619456,0.0465896384644,0.0782705926202,0.0972791651137,0.133432724562,0.100633619083,0.160268356318,0.0514349608647,0.0167722698472,0.0428624673873,0.471460340993,0.666666666667,0.062818336163,0.117996604414,0.0203735144312,0.0789473684211,0.15025466893,0.144312393888,0.0696095076401,0.00339558573854,0.0908319185059,0.0271646859083,0.196095076401,0,0.0124450951684,0.398243045388,0.608455882353,0.111560226354,0.651576394503,0.0711398544867,0.132578819725,0.0121261115602,0,0.00808407437348,0.104640582348,0.376706096451,0.22838944495,0.147406733394,0.142857142857,0,0.335249042146,0.158237547893,47.5,22,0.684151013675,0.264393657213,"True",0.714,0.274,"True",13.6040462428,0.453967492344,0.000741289844329,19,16,8,13,17,0,0,40,0,0,9.12
"3",7468,3,3,21.3481088332,51710001200,96278.8530466,"Norfolk city",573,801,173,557,191,322,2737,120,1992,0.5403,17,814,157,670,1674,16,0,0,0.7877052,41616,4105,5211.34,68,992,111,1008,55,0,168,60,2703,"va",1.305405,111,0.5177001,0.0697844355133,0.203507489953,0.292656192912,0.20935330654,0.117647058824,0.0438436244063,0.0632078918524,0.658465286236,0.245554202192,0.0133982947625,0.0270401948843,0,0.0409257003654,0.0146163215591,0.947218259629,0.0685483870968,0.400238948626,0.486260454002,0.0937873357228,0.0101553166069,0,0,0.00955794504182,16.3536288226,0.00520051372307,3,0,3,0,21.3481088332,0,51914,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,1674,2.45,1836,1674,365200,1065,36.91,-76.304,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.155907429963,0.206333739342,0.0241169305725,0.0248477466504,0.100852618758,0.0962241169306,0.0701583434836,0.144214372716,0.0721071863581,0.00779537149817,0.0331303288672,0.592592592593,1,0.0441767068273,0.123995983936,0.0100401606426,0.1109437751,0.224899598394,0.0888554216867,0.054718875502,0.00903614457831,0.1109437751,0.0215863453815,0.146084337349,0,0.0882352941176,0.397603485839,0.576712328767,0.0636559139785,0.797419354839,0.0232258064516,0.0705376344086,0,0,0.0240860215054,0.0767110702802,0.480937069362,0.247588424437,0.102434542949,0.044097381718,0.0445567294442,0.244432661718,0.103393425239,33,19,0.684151013675,0.264393657213,"True",0.714,0.274,"True",14.8129338692,0.503327364359,0.00179211469534,19,16,8,13,17,0,0,40,0,0,9.12
"4",7469,1,1,4.90951592044,51710001500,68634.7826087,"Norfolk city",299,459,37,187,78,257,1358,41,1007,0.3944,2,273,62,526,874,11,0,0,0.3319293,31211,2001,6028.392,39,497,84,658,0,0,10,84,1165,"va",0.3558893,48,0.02395996,0.0574374079529,0.137702503682,0.337997054492,0.220176730486,0.189248895434,0.0301914580265,0.0272459499264,0.582208895552,0.328835582209,0,0.0419790104948,0,0.00499750124938,0.0419790104948,0.954502369668,0.0784708249497,0.601830663616,0.312356979405,0.070938215103,0.00228832951945,0,0,0.012585812357,13.7950647025,0.00245353119462,1,0,1,0,4.90951592044,0,54038,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,874,2.29,977,874,254000,1156,36.912,-76.283,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.145427286357,0.272863568216,0.0294852573713,0.0184907546227,0.142928535732,0.0674662668666,0.055972013993,0.0914542728636,0.0384807596202,0.0259870064968,0.0504747626187,0.568649885584,1,0.0436941410129,0.183714001986,0.0168818272095,0.0228401191658,0.235352532274,0.0933465739821,0.00695134061569,0.00993048659384,0.159880834161,0.0556107249255,0.126117179742,0,0.105424769703,0.337768679632,0.7,0.00176056338028,0.852112676056,0.0325704225352,0.0545774647887,0.00880281690141,0.0114436619718,0.0387323943662,0.128747795414,0.483245149912,0.219576719577,0.101410934744,0.0537918871252,0.00352733686067,0.222103004292,0.111587982833,29.3,19,0.684151013675,0.264393657213,"True",0.714,0.274,"True",14.9793814433,0.54935051215,0.00114416475973,19,16,8,13,17,0,0,40,0,0,9.12
"5",7470,0,0,0,51710002000,93331.1320755,"Norfolk city",183,358,9,277,79,67,1005,32,651,0.4806,0,84,0,446,530,0,0,0,0.366409,39800,1315,3588.885,0,310,4,166,7,0,0,9,1129,"va",0.4472828,48,0.08087374,0.0786069651741,0.275621890547,0.356218905473,0.182089552239,0.0666666666667,0.0318407960199,0.0089552238806,0.85855513308,0.126235741445,0.00532319391635,0.00304182509506,0,0,0.00684410646388,0.931330472103,0,0.841509433962,0.158490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,63864,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,530,2.37,581,530,184700,1177,36.897,-76.262,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.0372623574144,0.198479087452,0.0349809885932,0.0593155893536,0.123954372624,0.143726235741,0.0562737642586,0.14752851711,0.0866920152091,0.0152091254753,0.0441064638783,0.584905660377,1,0.122887864823,0.0583717357911,0.0384024577573,0.122887864823,0.222734254992,0.165898617512,0.0445468509985,0.00921658986175,0.0660522273425,0.0506912442396,0.0506912442396,0,0.0877796901893,0.729776247849,0.681603773585,0.0699404761905,0.848214285714,0,0.0535714285714,0.0104166666667,0.0119047619048,0.00595238095238,0.0608,0.3392,0.2576,0.216,0.072,0.0416,0.271544715447,0.0861788617886,41,25,0.684151013675,0.264393657213,"True",0.714,0.274,"True",13.8935323383,0.246863190157,0,19,16,8,13,17,0,0,40,0,0,9.12
"6",7471,3,2,29.7322099676,51710002100,103076.635514,"Norfolk city",317,219,66,124,129,160,1097,82,671,0.5214,0,250,16,356,642,9,11,0,0.5271465,47857,1471,2790.496,21,370,0,111,0,0,0,84,1276,"va",0.7208435,15,0.193697,0.117593436645,0.113035551504,0.199635369189,0.288969917958,0.145852324521,0.0747493163172,0.0601640838651,0.867437117607,0.075458871516,0,0,0,0,0.057104010877,0.978134110787,0.0567567567568,0.554517133956,0.389408099688,0.0249221183801,0,0,0.0171339563863,0.0140186915888,41.2464147455,0.0202122433498,3,0,2,0,29.7322099676,0,76591,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,642,2.29,678,642,464500,293,36.89,-76.268,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.0761386811693,0.043507817811,0.0380693405846,0.0774983004759,0.12984364378,0.165193745751,0.128484024473,0.163154316791,0.068660774983,0.0537049626105,0.0292318150918,0.576323987539,1,0.0491803278689,0.0625931445604,0,0.207153502235,0.189269746647,0.140089418778,0.0491803278689,0.0655737704918,0.114754098361,0.0298062593145,0.0715350223547,0,0.0530973451327,0.635693215339,0.744779582367,0.0290456431535,0.852005532503,0.0442600276625,0.0539419087137,0.0124481327801,0,0.00829875518672,0.0982905982906,0.472934472934,0.19943019943,0.146723646724,0.0541310541311,0.00569800569801,0.307911617962,0.0691375623664,51.6,21,0.684151013675,0.264393657213,"True",0.714,0.274,"True",15.1741112124,0.238597937649,0.00311526479751,19,16,8,13,17,0,0,40,0,0,9.12
"7",7472,3,2,57.6689156722,51710002200,146514.769648,"Norfolk city",384,396,75,110,27,330,1394,72,922,0.468,8,186,103,435,738,6,0,0,0.5813394,58363,1901,3270.035,7,532,45,188,0,0,0,71,1597,"va",0.901686,35,0.3203467,0.019368723099,0.0789096126255,0.284074605452,0.275466284075,0.236728837877,0.051649928264,0.0538020086083,0.840084166228,0.0988953182536,0,0.0236717517096,0,0,0.0373487638085,0.96342737722,0.0131578947368,0.589430894309,0.252032520325,0.139566395664,0.0108401084011,0,0,0.00813008130081,63.9567606375,0.0303360945146,3,0,2,0,57.6689156722,0,116250,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,738,2.57,851,738,348300,1473,36.897,-76.28,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.061546554445,0.137296159916,0.0142030510258,0.0426091530773,0.122567069963,0.161493950552,0.0978432403998,0.157285639137,0.0462914255655,0.0299842188322,0.0710152551289,0.720867208672,0.897959183673,0.0173535791757,0.0553145336226,0.00650759219089,0.0921908893709,0.402386117137,0.150759219089,0.00976138828633,0.0347071583514,0.090021691974,0.0151843817787,0.0748373101952,0,0.132784958872,0.679200940071,0.73875432526,0.0599173553719,0.855371900826,0.00619834710744,0.0557851239669,0.0144628099174,0,0.00826446280992,0.10989010989,0.425274725275,0.274725274725,0.108791208791,0.0516483516484,0.0296703296703,0.257641921397,0.0529475982533,42.9,19,0.684151013675,0.264393657213,"True",0.714,0.274,"True",15.9619799139,0.282523027693,0.00271002710027,19,16,8,13,17,0,0,40,0,0,9.12
"8",7473,2,2,40.6365450157,51710002300,115684.929757,"Norfolk city",366,232,43,95,22,383,1234,93,899,0.4852,5,395,56,327,783,0,0,0,0.3973343,43116,2161,5438.746,35,567,167,7,9,0,21,51,1906,"va",0.5996688,48,0.2023345,0.0178282009724,0.0769854132901,0.188006482982,0.29659643436,0.310372771475,0.0753646677472,0.0348460291734,0.881999074503,0.00323924109209,0.00416473854697,0.0772790374826,0,0.00971772327626,0.0236001850995,0.949313621964,0.0617283950617,0.417624521073,0.504469987229,0.0715197956577,0.00638569604087,0,0,0,67.7649812958,0.0188045094936,2,0,2,0,40.6365450157,0,90037,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,783,2.76,838,783,364900,1057,36.897,-76.298,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.143914854234,0.12124016659,0.0148079592781,0.0222119389172,0.140212864415,0.138361869505,0.0615455807497,0.0726515502082,0.058769088385,0.0305414160111,0.104581212402,0.724137931034,1,0.0122358175751,0.111234705228,0.0266963292547,0.0656284760845,0.364849833148,0.137931034483,0.0711902113459,0.0311457174638,0.0400444938821,0.0422691879867,0.0756395995551,0.0055617352614,0.0656324582339,0.545346062053,0.787746170678,0.0630816959669,0.779731127198,0.0320579110651,0.0692864529473,0,0.0341261633919,0,0.173289183223,0.438189845475,0.23289183223,0.0794701986755,0.0485651214128,0.00772626931567,0.111111111111,0.0555555555556,32.6,19,0.684151013675,0.264393657213,"True",0.714,0.274,"True",16.3452188007,0.21542634233,0.00255427841635,19,16,8,13,17,0,0,40,0,0,9.12
"9",7474,8,7,159.632794846,51710002400,116764.538462,"Norfolk city",857,403,152,89,145,514,2340,180,1972,0.412,5,320,178,797,1300,0,0,0,0.6347523,40424,3878,6109.469,24,926,43,98,0,0,26,67,3644,"va",1.466189,70,0.8314363,0.0619658119658,0.0380341880342,0.172222222222,0.366239316239,0.219658119658,0.0769230769231,0.0649572649573,0.93965961836,0.0252707581227,0,0.0110881897886,0,0.00670448684889,0.0172769468798,0.965719882468,0.0259179265659,0.613076923077,0.246153846154,0.136923076923,0.00384615384615,0,0,0,55.909384295,0.0211381444688,7,1,6,1,81.9737242501,77.6590705961,104861,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,1300,2.98,1332,1300,384100,1970,36.893,-76.32,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.165549252192,0.10985043837,0.0128932439402,0.0363589479113,0.150077359464,0.14878803507,0.0595667870036,0.0858690046416,0.061629706034,0.0312016503352,0.0724600309438,0.712307692308,1,0.0552738336714,0.111561866126,0.0172413793103,0.065415821501,0.27738336714,0.163793103448,0.0486815415822,0,0.0740365111562,0.0167342799189,0.132352941176,0.00304259634888,0.024024024024,0.757507507508,0.838453914767,0.0766533066132,0.769038076152,0.0345691382766,0.0666332665331,0.0060120240481,0.0405811623246,0,0.153011394466,0.38958220293,0.231687466088,0.167661421595,0.0347259902333,0.0119370591427,0.128811777077,0.0580967402734,34.7,20,0.684151013675,0.264393657213,"True",0.714,0.274,"True",16.1564102564,0.115934799417,0.00461538461538,19,16,8,13,17,0,0,40,0,0,9.12
"10",7475,13,5,1384.8171886,51710002500,41656.2905318,"Norfolk city",111,372,5,306,139,87,1020,0,1556,0.5415,6,525,6,234,771,0,0,0,0.5370948,8796,4816,8966.76,44,267,180,2091,59,3,77,81,2325,"va",0.5525709,323,0.01547613,0.136274509804,0.3,0.364705882353,0.108823529412,0.0852941176471,0,0.00490196078431,0.482765780731,0.434177740864,0.0122508305648,0.0373754152824,0.00062292358804,0.015988372093,0.0168189368771,0.82810005322,0.164794007491,0.303501945525,0.68093385214,0.00778210116732,0.00778210116732,0,0,0,105.782239078,0.012137082029,4,9,4,1,58.4521870516,1326.36500154,25602,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,771,3,902,771,175600,1054,36.883,-76.31,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.734011627907,0.0865863787375,0.00249169435216,0.0105897009967,0.0284468438538,0.0342607973422,0.0203488372093,0.0290697674419,0.0174418604651,0.0137043189369,0.00643687707641,0.346303501946,1,0.0269922879177,0.0437017994859,0.00899742930591,0.0327763496144,0.267994858612,0.0726221079692,0.0700514138817,0.0025706940874,0.148457583548,0.0186375321337,0.256426735219,0,0.145232815965,0.20066518847,0.723756906077,0.0238248551191,0.662588538313,0.163554410818,0.0991629104958,0,0.011590470058,0.0360592401803,0.251319261214,0.344327176781,0.134564643799,0.183377308707,0.0468337730871,0.0296833773087,0.108406158968,0.104660840616,20.7,19,0.684151013675,0.264393657213,"True",0.714,0.274,"True",13.1754901961,0.576340993063,0.00518806744488,19,16,8,13,17,0,0,40,0,0,9.12
"11",7476,1,1,29.4388553858,51710002600,39543.0512017,"Norfolk city",181,348,58,171,45,212,1050,35,1794,0.5848,0,688,5,264,957,0,0,0,0.3354907,10176,4984,14855.85,64,274,377,2049,8,25,106,163,2256,"va",0.3919455,431,0.0564547,0.0428571428571,0.162857142857,0.331428571429,0.172380952381,0.201904761905,0.0333333333333,0.0552380952381,0.45264847512,0.411115569823,0.0016051364366,0.0756420545746,0.00501605136437,0.0212680577849,0.0327046548957,0.806292134831,0.233576642336,0.275862068966,0.718913270637,0.00522466039707,0,0,0,0,75.1095634107,0.00590667242893,1,0,1,0,29.4388553858,0,20734,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,957,3.24,1061,957,211500,974,36.886,-76.297,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.740971107544,0.121990369181,0,0.00521669341894,0.0214686998395,0.0236757624398,0.0126404494382,0.0256821829856,0.0116372391653,0.0164526484751,0.00922953451043,0.28631138976,0.992974238876,0.0133779264214,0.0200668896321,0.0183946488294,0.025641025641,0.313266443701,0.0813823857302,0.0323299888517,0.0234113712375,0.13768115942,0.0312151616499,0.238573021182,0,0.0980207351555,0.170593779453,0.839779005525,0.0279202279202,0.60113960114,0.288319088319,0.0108262108262,0,0.002849002849,0.0387464387464,0.236225087925,0.417936694021,0.198124267292,0.106096131301,0.0246189917937,0.00937866354045,0.073709580237,0.157863024704,21.4,16,0.684151013675,0.264393657213,"True",0.714,0.274,"True",15.1895238095,0.618821963831,0.00104493207941,19,16,8,13,17,0,0,40,0,0,9.12
"12",7477,0,0,0,51710002700,36632.1025641,"Norfolk city",178,541,0,521,488,13,1741,0,1121,0.4459,0,617,55,303,975,0,0,0,0.3818396,13309,2976,7793.848,165,600,44,2431,0,0,0,185,316,"va",0.3818396,288,0,0.28029867892,0.2992533027,0.310740953475,0.102240091901,0.00746697300402,0,0,0.106182795699,0.81686827957,0,0.0147849462366,0,0,0.0621639784946,0.795599716111,0.275,0.310769230769,0.632820512821,0.0564102564103,0,0,0,0,0,0,0,0,0,0,0,0,26875,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,975,3,1163,975,161900,1004,36.876,-76.295,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.167338709677,0.154233870968,0,0.0319220430108,0.147177419355,0.105174731183,0.0403225806452,0.106182795699,0.059811827957,0.0262096774194,0.0581317204301,0.615384615385,0.905303030303,0.0722569134701,0.0660124888492,0,0.0374665477252,0.184656556646,0.171275646744,0.0838537020517,0.0124888492417,0.0954504906334,0.0267618198037,0.154326494202,0,0.161650902837,0.30524505589,0.602816901408,0.00613496932515,0.626643295355,0.135845749343,0.107800175285,0,0.0254163014899,0.0981595092025,0.0520282186949,0.356261022928,0.21164021164,0.16049382716,0.0970017636684,0.0608465608466,0.464492014951,0.236493374108,29.1,29,0.684151013675,0.264393657213,"True",0.714,0.274,"True",11.9540493969,0.317368472873,0,19,16,8,13,17,0,0,40,0,0,9.12
"13",7478,4,4,53.6447613806,51710002800,97266.8169014,"Norfolk city",895,701,168,455,123,409,2981,230,2215,0.4253,0,887,118,765,1775,5,0,0,0.5341666,44573,4114,7701.717,28,914,184,982,0,0,135,182,2631,"va",0.6526096,134,0.118443,0.0412613217041,0.152633344515,0.235155987924,0.30023482053,0.137202281114,0.0771553170077,0.0563569272056,0.639523578026,0.238697131745,0,0.0447253281478,0,0.0328147788041,0.0442391832766,0.942954448702,0.0306345733042,0.430985915493,0.499718309859,0.0664788732394,0,0,0,0.00281690140845,82.2003865414,0.0130395628052,4,0,4,0,53.6447613806,0,77207,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,1775,2.2,2096,1775,282200,1244,36.886,-76.285,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.126397666505,0.229217306757,0.0157997083131,0.0296548371415,0.117160913952,0.106951871658,0.0845892075839,0.141225085075,0.048128342246,0.0155566358775,0.0308701993194,0.514929577465,1,0.0523702031603,0.0781038374718,0.00993227990971,0.055079006772,0.32144469526,0.204514672686,0.0248306997743,0,0.0613995485327,0.051467268623,0.0984198645598,0,0.153148854962,0.414122137405,0.809907834101,0.0348217943466,0.850471118394,0.0253994264646,0.0421958213847,0,0.0294961081524,0.0143383859074,0.131154499151,0.332767402377,0.262308998302,0.174872665535,0.054753820034,0.0356536502547,0.16543614985,0.103363412633,34.8,21,0.684151013675,0.264393657213,"True",0.714,0.274,"True",15.5310298558,0.528999002422,0.00225352112676,19,16,8,13,17,0,0,40,0,0,9.12
"14",7479,1,1,12.9225174774,51710002900,43751.1610487,"Norfolk city",219,579,2,690,574,101,2182,17,1807,0.4107,0,945,57,324,1335,9,0,0,0.6987627,17508,3617,5176.292,126,779,58,2895,0,0,33,169,462,"va",0.7385393,74,0.03977663,0.263061411549,0.316223648029,0.265352887259,0.100366636114,0.0462878093492,0.00779101741522,0.000916590284143,0.127730163119,0.8003870611,0,0.0160353884435,0,0.0091235830799,0.0467238042577,0.960659223817,0.161745827985,0.242696629213,0.707865168539,0.0426966292135,0,0,0,0.00674157303371,17.4973999046,0.00357271702443,1,0,1,0,12.9225174774,0,37847,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,1335,2.69,1671,1335,181900,837,36.874,-76.281,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.155930329002,0.20818357755,0,0.0113353607962,0.101188830523,0.11197124689,0.0483826375449,0.122200718828,0.0630356649157,0.0232236660216,0.0608238871993,0.583520599251,0.991150442478,0.0498063087991,0.081903707803,0.00996126175982,0.0243497509685,0.313779745434,0.104039845047,0.0509131156613,0.00885445489762,0.122302158273,0.0641947980077,0.13558384062,0,0.201077199282,0.245960502693,0.888077858881,0,0.7089678511,0.0688099266779,0.0761421319797,0,0.0282007896221,0.11787930062,0.157924421884,0.267343485618,0.24478285392,0.178793006204,0.102650874224,0.0304568527919,0.385410844047,0.138065958636,30,23,0.684151013675,0.264393657213,"True",0.714,0.274,"True",12.2360219982,0.340542070518,0.000749063670412,19,16,8,13,17,0,0,40,0,0,9.12
"15",7480,3,2,33.084854845,51710003000,67021.8377088,"Norfolk city",254,500,20,337,140,143,1429,35,970,0.4481,0,249,164,410,838,7,8,0,0.3816242,31030,1919,5028.508,93,472,17,728,16,0,10,73,1075,"va",0.4643655,88,0.08274131,0.0979706088174,0.235829251225,0.349895031491,0.177746675997,0.100069979006,0.0244926522043,0.0139958012596,0.560187597707,0.379364252215,0.00833767587285,0.0088587806149,0,0.00521104742053,0.0380406461699,0.916824196597,0.197033898305,0.489260143198,0.297136038186,0.195704057279,0,0,0.00954653937947,0.00835322195704,71.2474437592,0.0172406747499,3,0,2,0,33.084854845,0,50435,11.37,8.21,6.95,8.11,9.31,1149,9405,393492,404046,838,2.23,862,838,237300,977,36.876,-76.268,20,-2.09,30.74,17.13,43,15.8,0.664,4.17,101.6,4.8,15.7,1707,2754,0.0896300156331,0.15216258468,0.00625325690464,0.058884835852,0.153204794164,0.0932777488275,0.0760812923398,0.204794163627,0.05836373111,0.0177175612298,0.0343929129755,0.563245823389,1,0.080412371134,0.0711340206186,0.0536082474227,0.0443298969072,0.242268041237,0.0989690721649,0.10618556701,0.0123711340206,0.0721649484536,0.0288659793814,0.103092783505,0.00618556701031,0.0278422273782,0.526682134571,0.733480176211,0.0157480314961,0.871062992126,0.0226377952756,0.0590551181102,0,0.00688976377953,0.00590551181102,0.085,0.447,0.26,0.087,0.097,0.017,0.338519313305,0.18991416309,40.5,20,0.684151013675,0.264393657213,"True",0.714,0.274,"True",13.9657102869,0.540650378908,0.00238663484487,19,16,8,13,17,0,0,40,0,0,9.12
